"Indicator","PUBLISH STATES","Year","WHO region","Country","Age Group","Sex","Display Value","Numeric","Low","High","Comments"
"nMx - age-specific death rate between ages x and x+n","Published","2011","Western Pacific","Japan","75-79","Male","
0.03869
","0.03869","","",""
"nMx - age-specific death rate between ages x and x+n","Published","2011","Western Pacific","Japan","55-59","Both sexes","
0.00454
","0.00454","","",""
"nMx - age-specific death rate between ages x and x+n","Published","2000","Western Pacific","Japan","55-59","Female","
0.00320
","0.0032","","",""
"nMx - age-specific death rate between ages x and x+n","Published","1990","Western Pacific","Japan","75-79","Male","
0.05635
","0.05635","","",""
"nMx - age-specific death rate between ages x and x+n","Published","2011","Western Pacific","Japan","15-19","Both sexes","
0.00029
","2.9E-4","","",""
"nMx - age-specific death rate between ages x and x+n","Published","2011","Western Pacific","Japan","25-29","Female","
0.00038
","3.8E-4","","",""
"nMx - age-specific death rate between ages x and x+n","Published","1990","Western Pacific","Japan","80-84","Both sexes","
0.07399
","0.07399","","",""
"nMx - age-specific death rate between ages x and x+n","Published","1990","Western Pacific","Japan","40-44","Male","
0.00183
","0.00183","","",""
"nMx - age-specific death rate between ages x and x+n","Published","2011","Western Pacific","Japan","35-39","Male","
0.00103
","0.00103","","",""
"nMx - age-specific death rate between ages x and x+n","Published","2000","Western Pacific","Japan","35-39","Female","
0.00062
","6.2E-4","","",""
"nMx - age-specific death rate between ages x and x+n","Published","2000","Western Pacific","Japan","45-49","Male","
0.00297
","0.00297","","",""
"nMx - age-specific death rate between ages x and x+n","Published","2000","Western Pacific","Japan","20-24","Female","
0.00029
","2.9E-4","","",""
"nMx - age-specific death rate between ages x and x+n","Published","1990","Western Pacific","Japan","20-24","Both sexes","
0.00055
","5.5E-4","","",""
"nMx - age-specific death rate between ages x and x+n","Published","1990","Western Pacific","Japan","30-34","Female","
0.00046
","4.6E-4","","",""
"nMx - age-specific death rate between ages x and x+n","Published","2000","Western Pacific","Japan","10-14","Both sexes","
0.00011
","1.1E-4","","",""
"nMx - age-specific death rate between ages x and x+n","Published","2000","Western Pacific","Japan","5-9","Male","
0.00014
","1.4E-4","","",""
"nMx - age-specific death rate between ages x and x+n","Published","2011","Western Pacific","Japan","30-34","Female","
0.00046
","4.6E-4","","",""
"nMx - age-specific death rate between ages x and x+n","Published","1990","Western Pacific","Japan","85-89","Both sexes","
0.13104
","0.13104","","",""
"nMx - age-specific death rate between ages x and x+n","Published","2011","Western Pacific","Japan","100+","Both sexes","
0.44217
","0.44217","","",""
"nMx - age-specific death rate between ages x and x+n","Published","2011","Western Pacific","Japan","10-14","Female","
0.00010
","1.0E-4","","",""
"nMx - age-specific death rate between ages x and x+n","Published","2000","Western Pacific","Japan","70-74","Male","
0.02869
","0.02869","","",""
"nMx - age-specific death rate between ages x and x+n","Published","1990","Western Pacific","Japan","15-19","Female","
0.00024
","2.4E-4","","",""
"nMx - age-specific death rate between ages x and x+n","Published","1990","Western Pacific","Japan","65-69","Both sexes","
0.01371
","0.01371","","",""
"nMx - age-specific death rate between ages x and x+n","Published","2011","Western Pacific","Japan","80-84","Both sexes","
0.04911
","0.04911","","",""
"nMx - age-specific death rate between ages x and x+n","Published","2000","Western Pacific","Japan","90-94","Male","
0.21477
","0.21477","","",""
"nMx - age-specific death rate between ages x and x+n","Published","2000","Western Pacific","Japan","<1","Both sexes","
0.00331
","0.00331","","",""
"nMx - age-specific death rate between ages x and x+n","Published","1990","Western Pacific","Japan","<1","Female","
0.00417
","0.00417","","",""
"nMx - age-specific death rate between ages x and x+n","Published","2011","Western Pacific","Japan","60-64","Both sexes","
0.00682
","0.00682","","",""
"nMx - age-specific death rate between ages x and x+n","Published","2011","Western Pacific","Japan","1-4","Male","
0.00032
","3.2E-4","","",""
"nMx - age-specific death rate between ages x and x+n","Published","2000","Western Pacific","Japan","100+","Female","
0.45740
","0.4574","","",""
"nMx - age-specific death rate between ages x and x+n","Published","2000","Western Pacific","Japan","15-19","Both sexes","
0.00032
","3.2E-4","","",""
"nMx - age-specific death rate between ages x and x+n","Published","2011","Western Pacific","Japan","70-74","Female","
0.00992
","0.00992","","",""
"nMx - age-specific death rate between ages x and x+n","Published","2000","Western Pacific","Japan","10-14","Male","
0.00015
","1.5E-4","","",""
"nMx - age-specific death rate between ages x and x+n","Published","1990","Western Pacific","Japan","75-79","Female","
0.03152
","0.03152","","",""
"nMx - age-specific death rate between ages x and x+n","Published","1990","Western Pacific","Japan","35-39","Female","
0.00070
","7.0E-4","","",""
"nMx - age-specific death rate between ages x and x+n","Published","1990","Western Pacific","Japan","45-49","Male","
0.00318
","0.00318","","",""
"nMx - age-specific death rate between ages x and x+n","Published","2000","Western Pacific","Japan","55-59","Both sexes","
0.00529
","0.00529","","",""
"nMx - age-specific death rate between ages x and x+n","Published","2000","Western Pacific","Japan","50-54","Male","
0.00465
","0.00465","","",""
